transaction_id,transaction_date,customer_id,product_id,count,sales,shipping_date,cancellation_date,status,customer_name,birth_date,gender,prefectures,type,product_name,brand,category,color,price
201904010000-1,2019-04-01,C-001213,CANB3,3,449400,2019-04-12,,配達済み,押切 彩,1991-01-30,女,東京都,法人,Caps-A3,caps,ノートPC,Black,149800
201904010003-1,2019-04-01,C-001572,ID16,1,16300,2019-04-09,,配達済み,牟田 健,1980-10-21,男,愛知県,個人,Display-16,ディスプレイ,周辺機器,,16300
201904030001-1,2019-04-03,C-002610,INDB5,3,464400,2019-04-12,,配達済み,鈴木 博志,1983-09-11,男,大阪府,法人,Inter-W5,Inter,デスクトップ,Black,154800
201904030001-2,2019-04-03,C-002610,IKW,6,22686,2019-04-14,,配達済み,鈴木 博志,1983-09-11,男,大阪府,法人,ワイヤレスキーボード,キーボード,周辺機器,,3781
201904040006-1,2019-04-04,C-001267,ZENB9,6,1679400,2019-04-15,,配達済み,松浦 美菜子,2001-01-28,女,大阪府,個人,Zerace-J9,zerace,ノートPC,Black,279900
201904040008-1,2019-04-04,C-001847,CADB3,3,524700,2019-04-15,,配達済み,鷺 さち子,1981-03-13,女,神奈川県,法人,Caps-B3,caps,デスクトップ,Black,174900
201904040010-1,2019-04-04,C-002604,CANB3,2,299600,2019-04-18,,配達済み,大森 宗之,1974-10-13,男,兵庫県,法人,Caps-A3,caps,ノートPC,Black,149800
201904040011-1,2019-04-04,C-003126,CANB1,2,259600,2019-04-16,,配達済み,中谷 聡,1972-06-20,男,北海道,法人,Caps-A1,caps,ノートPC,Black,129800
201904040013-1,2019-04-04,C-003247,PUNS3,3,296220,2019-04-14,,配達済み,松平 崇,1995-05-15,男,東京都,法人,Puter-K2,puter,ノートPC,Silver,98740
201904050000-1,2019-04-05,C-000934,INDB5,1,154800,2019-04-17,,配達済み,江口 晶子,1986-01-29,女,群馬県,個人,Inter-W5,Inter,デスクトップ,Black,154800
201904050003-1,2019-04-05,C-002334,TADB3,2,90684,2019-04-14,,配達済み,四元 光,1973-10-23,男,東京都,個人,Tablet-E2,Tab,タブレット,Black,45342
201904060000-1,2019-04-06,C-000259,IMU,1,1230,2019-04-18,,配達済み,大路 舞子,2004-01-10,女,愛媛県,個人,USBマウス,マウス,周辺機器,,1230
201904060001-1,2019-04-06,C-001106,CANB13,1,349800,2019-04-12,,配達済み,土屋 真介,1983-08-02,男,滋賀県,個人,Caps-X10,caps,ノートPC,Black,349800
201904060002-1,2019-04-06,C-001690,ZEDB5,3,536700,2019-04-12,,配達済み,岩越 健太,1986-09-06,男,鳥取県,法人,Zerace-L5,zerace,デスクトップ,Black,178900
201904060005-1,2019-04-06,C-002008,INNG3,5,684000,2019-04-12,,配達済み,左 洋明,1980-11-10,男,東京都,法人,Inter-V3,Inter,ノートPC,Gold,136800
201904060008-1,2019-04-06,C-002109,INNS5,3,479400,2019-04-14,,配達済み,川田 泰夫,1991-05-17,男,北海道,法人,Inter-Q5,Inter,ノートPC,Silver,159800
201904100001-1,2019-04-10,C-001386,TADB5,2,248684,2019-04-19,,配達済み,西脇 則子,2002-11-19,女,愛知県,個人,Tablet-E3,Tab,タブレット,Black,124342
201904100003-1,2019-04-10,C-001601,INDB9,0,0,2019-04-20,,配達済み,松森 幸司,1985-07-29,男,兵庫県,個人,Inter-W5HP,Inter,デスクトップ,Black,216800
201904100005-1,2019-04-10,C-002990,TADB5,2,248684,2019-04-21,,配達済み,尾崎 紗由美,1973-11-28,女,香川県,法人,Tablet-E3,Tab,タブレット,Black,124342
201904100007-1,2019-04-10,C-003056,INNS5,2,319600,2019-04-20,,配達済み,田中 泰宏,1985-08-29,男,大阪府,法人,Inter-Q5,Inter,ノートPC,Silver,159800
201904120000-1,2019-04-12,C-000073,ID16,8,130400,2019-04-19,,配達済み,荒川 浩一郎,2000-03-02,男,東京都,法人,Display-16,ディスプレイ,周辺機器,,16300
201904120002-1,2019-04-12,C-001134,ZENB7,0,0,2019-04-19,,配達済み,浅田 大蔵,1991-06-03,男,埼玉県,個人,Zerace-J7,zerace,ノートPC,Black,231400
201904120003-1,2019-04-12,C-001450,VEDB5,2,449600,2019-04-19,,配達済み,藤井 健一,2004-05-12,男,東京都,個人,Verge-T5,verge,デスクトップ,Black,224800
201904120005-1,2019-04-12,C-003787,CANB9,2,519600,2019-04-18,,配達済み,樋口 徹,1994-10-18,男,福井県,個人,Caps-X5P,caps,ノートPC,Black,259800
201904130000-1,2019-04-13,C-002606,PUDB3,1,89940,2019-04-19,,配達済み,大竹 知美,1998-04-03,女,福岡県,法人,Puter-M2,puter,デスクトップ,Black,89940
201904130001-1,2019-04-13,C-002761,CANB11,1,289900,2019-04-20,,配達済み,米村 一城,1981-10-07,男,東京都,個人,Caps-X5PH,caps,ノートPC,Black,289900
201904130004-1,2019-04-13,C-002793,CADB11,1,364800,2019-04-21,,配達済み,戸田 未佳,1992-12-06,女,東京都,個人,Caps-XC5PH,caps,デスクトップ,Black,364800
201904130006-1,2019-04-13,C-003279,VENB7,4,1239200,2019-04-20,,配達済み,町田 俊介,1983-11-26,男,北海道,法人,Verge-U7,verge,ノートPC,Black,309800
201904180001-1,2019-04-18,C-000999,TADB5,3,373026,2019-04-26,,配達済み,小泉 大典,1998-03-12,男,静岡県,法人,Tablet-E3,Tab,タブレット,Black,124342
201904180002-1,2019-04-18,C-002957,IMW,3,7611,2019-04-29,,配達済み,笠置 知恵子,1994-05-19,女,東京都,法人,ワイヤレスマウス,マウス,周辺機器,,2537
201904200002-1,2019-04-20,C-000190,VEDB3,4,739200,2019-05-03,,配達済み,高瀬 康文,1981-10-28,その他・不明,大阪府,法人,Verge-T3,verge,デスクトップ,Black,184800
201904200003-1,2019-04-20,C-001279,CANB11,1,289900,2019-05-01,,配達済み,谷 敏史,1985-11-25,その他・不明,東京都,法人,Caps-X5PH,caps,ノートPC,Black,289900
201904210001-1,2019-04-21,C-000777,VEDB17,4,4399200,2019-04-28,,配達済み,山田 未来,1981-12-10,女,東京都,個人,Verge-T9H4,verge,デスクトップ,Black,1099800
201904250000-1,2019-04-25,C-000288,PUNR3,1,98740,2019-05-05,,配達済み,野見山 緑,1990-03-27,女,東京都,個人,Puter-K2,puter,ノートPC,Red,98740
201904250003-1,2019-04-25,C-000382,VEDB9,3,1138200,2019-05-04,,配達済み,山本 真介,1978-07-10,男,宮城県,法人,Verge-T9,verge,デスクトップ,Black,379400
201904250003-2,2019-04-25,C-000382,ZEDB5,2,357800,2019-05-07,,配達済み,山本 真介,1978-07-10,男,宮城県,法人,Zerace-L5,zerace,デスクトップ,Black,178900
201904250003-3,2019-04-25,C-000382,ZENB5,4,695200,2019-05-07,,配達済み,山本 真介,1978-07-10,男,宮城県,法人,Zerace-J5,zerace,ノートPC,Black,173800
201904250004-1,2019-04-25,C-000452,INDB1,10,948000,2019-05-04,,配達済み,廣瀬 崇之,1985-09-22,男,青森県,法人,Inter-C1,Inter,デスクトップ,Black,94800
201904250005-1,2019-04-25,C-002056,VEDB3,1,184800,2019-05-03,,配達済み,山口 幸栄,1982-12-31,女,千葉県,個人,Verge-T3,verge,デスクトップ,Black,184800
201904250009-1,2019-04-25,C-002515,CADB9,2,639600,2019-05-07,,配達済み,星野 俊行,2001-09-05,男,大阪府,個人,Caps-XC5P,caps,デスクトップ,Black,319800
201904250010-1,2019-04-25,C-002809,CANB11,3,869700,2019-05-04,,配達済み,安里 恵,1974-07-14,女,奈良県,法人,Caps-X5PH,caps,ノートPC,Black,289900
201904250011-1,2019-04-25,C-003782,ZEDB3,3,467400,2019-05-05,,配達済み,白岩 聡,1998-12-20,男,福岡県,法人,Zerace-L3,zerace,デスクトップ,Black,155800
201904280003-1,2019-04-28,C-000222,INNS5,4,639200,2019-05-07,,配達済み,森田 かりん,1985-09-10,女,埼玉県,法人,Inter-Q5,Inter,ノートPC,Silver,159800
201904280003-2,2019-04-28,C-000222,VENB9,4,1479200,2019-05-05,,配達済み,森田 かりん,1985-09-10,女,埼玉県,法人,Verge-U9,verge,ノートPC,Black,369800
201904280005-1,2019-04-28,C-001179,CADB9,12,3837600,2019-05-06,,配達済み,糸山 純子,1985-11-24,女,大阪府,法人,Caps-XC5P,caps,デスクトップ,Black,319800
201904280006-1,2019-04-28,C-001339,TADB3,4,181368,2019-05-04,,配達済み,石川 泰司,1984-08-30,男,福岡県,法人,Tablet-E2,Tab,タブレット,Black,45342
201904280008-1,2019-04-28,C-001341,VEDB7,1,228900,2019-05-07,,配達済み,横山 絵美,1995-11-20,女,広島県,法人,Verge-T7,verge,デスクトップ,Black,228900
201904280010-1,2019-04-28,C-001538,TADB3,1,45342,2019-05-05,2019-05-09,キャンセル,國友 智史,1988-07-10,男,岐阜県,個人,Tablet-E2,Tab,タブレット,Black,45342
