customer_id,customer_name,birth_date,gender,prefectures,type
C-000001,中川 友子,1983-11-13,女,東京都,個人
C-000002,丸井 麻美,1988-07-17,女,東京都,法人
C-000003,関本 祥子,1983-05-16,女,東京都,法人
C-000004,福崎 由佳梨,1978-11-05,女,東京都,個人
C-000005,戸村 正利,2000-09-12,男,福岡県,個人
C-000006,石永 わたる,1978-10-19,男,東京都,法人
C-000007,渡邊 信幸,1989-08-01,男,東京都,法人
C-000008,田邊 中,2001-06-23,男,東京都,法人
C-000009,増田 渉,1991-12-29,男,東京都,個人
C-000010,鎌田 麻子,1998-09-29,女,福岡県,法人
C-000011,高橋 美華,2003-06-29,女,東京都,個人
C-000012,竹内 純子,1989-07-25,女,福岡県,個人
C-000013,清水 幸司,1999-05-08,男,大分県,個人
C-000014,園田 克彦,2001-04-12,男,神奈川県,個人
C-000015,足助 よしみ,1999-02-19,女,岐阜県,法人
C-000016,矢野 順,1990-08-12,男,宮城県,法人
C-000017,宮城 一茂,1993-10-02,男,群馬県,法人
C-000018,都倉 理恵,2001-11-29,女,東京都,個人
C-000019,箱田 一樹,1996-07-06,男,東京都,法人
C-000020,荒井 恵,1983-01-03,女,大阪府,個人
C-000021,水谷 有里,1983-12-10,女,愛知県,法人
C-000022,守屋 康男,1991-03-28,男,埼玉県,法人
C-000023,笹部 洋輔,1995-03-04,男,東京都,個人
C-000024,米内 直哉,1988-05-18,男,大阪府,個人
C-000025,筒井 香織,2001-11-11,女,岡山県,個人
C-000026,志田 龍,1993-05-19,男,東京都,個人
C-000027,関根 絵里,1998-05-30,女,東京都,個人
C-000028,牧野 真衣,2005-01-21,女,東京都,個人
C-000029,生田 和佳子,1991-10-26,女,東京都,法人
C-000030,鈴木 楓,1996-05-01,女,愛媛県,個人
C-000031,唐澤 宏,1972-11-16,男,東京都,個人
C-000032,仲里 慎一郎,1987-02-28,男,愛知県,個人
C-000033,坂本 正憲,1999-10-29,男,兵庫県,法人
C-000034,牧田 元昭,1973-06-01,男,東京都,法人
C-000035,高田 光彦,1976-10-09,男,東京都,法人
C-000036,佐竹 和夫,1979-12-19,男,千葉県,個人
C-000037,齊藤 洋恵,1997-12-16,女,長野県,個人
C-000038,田宮 亜季子,1980-06-03,女,東京都,法人
C-000039,山本 久恵,1984-11-30,女,静岡県,個人
C-000040,馬場 亜由美,1984-09-12,女,東京都,法人
C-000041,薮野 憲二,1983-05-04,男,神奈川県,法人
C-000042,伊藤 裕基,1988-08-10,男,東京都,個人
C-000043,寺本 啓介,2000-12-16,男,神奈川県,個人
C-000044,小長井 純子,1986-03-13,女,兵庫県,法人
C-000045,谷口 亜耶,1999-10-13,女,東京都,法人
C-000046,小林 陽子,2003-10-20,女,東京都,個人
C-000047,肥田 裕美,1985-01-10,女,兵庫県,法人
C-000048,戸田 孝男,2001-12-25,男,東京都,法人
C-000049,小宮山 伸二,1982-09-07,男,大阪府,個人
C-000050,駒井 克弥,1984-09-03,男,大阪府,個人
C-000051,原 直子,1976-08-18,女,大阪府,法人
C-000052,苅谷 靖人,1983-03-03,男,北海道,法人
C-000053,奥津 幸子,1995-05-04,女,東京都,個人
C-000054,原 裕亮,1978-08-28,男,東京都,法人
C-000055,品川 希,2002-12-29,女,大阪府,個人
C-000056,中島 昌也,1972-06-01,男,大阪府,法人
C-000057,久保田 靖章,2004-02-12,男,東京都,個人
C-000058,阿部 和之,1991-01-18,男,神奈川県,個人
C-000059,工藤 一生,1985-06-22,男,静岡県,個人
C-000060,田中 修,1975-12-26,男,神奈川県,法人
C-000061,嶋谷 大介,2007-07-24,男,東京都,個人
C-000062,伊藤 美智子,1973-02-09,女,大阪府,法人
C-000063,芳賀 公彦,2005-07-15,男,東京都,個人
C-000064,千葉 肇,1978-07-25,男,大阪府,個人
C-000065,朝比奈 覚,1988-01-23,男,広島県,個人
C-000066,吉田 諭史,1972-04-21,男,東京都,個人
C-000067,小笠原 知憲,2005-08-15,男,福岡県,個人
C-000068,白柳 高弘,2004-12-21,男,沖縄県,個人
C-000069,丸茂 俊一,1997-01-27,男,千葉県,個人
C-000070,古川 眞由美,1999-12-15,女,東京都,法人
C-000071,川上 真弓,1973-04-13,女,滋賀県,法人
C-000072,谷口 泰彦,2006-09-13,男,岡山県,個人
C-000073,荒川 浩一郎,2000-03-02,男,東京都,法人
C-000074,今野 信二,1987-06-02,男,兵庫県,個人
C-000075,五十嵐 伸也,1979-03-23,その他・不明,東京都,個人
C-000076,石田 淳一,1976-07-19,男,東京都,個人
C-000077,佐藤 佳宏,2006-09-04,男,千葉県,個人
C-000078,加藤 貴大,1983-03-26,男,沖縄県,個人
C-000079,村田 七海,1978-01-28,女,和歌山県,個人
C-000080,宮本 康平,1972-05-20,男,東京都,個人
C-000081,山内 孝介,2004-08-07,男,埼玉県,法人
